brand,price,number_of_seat,start_time,start_day,end_day,end_time,trip_time,take_place,destination,location
Lien Hung,290000,34 chỗ ngồi,01:30,24-05-2024,24-05-2024,10:00,8 giờ 30 phút,"Ngã 4 An Sương Siêu thị đá Granite & Marble Tây Nam, 2555 QL1A, Khu Phố 3","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang
Hanh Cafe,260000,41 chỗ ngồi,07:45,24-05-2024,24-05-2024,15:45,8 giờ ,VP Sài Gòn 273 Phạm Ngũ Lão,VP Nha Trang 1 106 Phong Châu,Nha Trang
Cuc Tung,450000,21 chỗ ngồi,08:00,24-05-2024,24-05-2024,16:00,8 giờ ,"Bến xe Miền Đông mới A Số 501, đường Hoàng Hữu Nam","Bến Xe Phía Nam Nha Trang Km số 6, đường 23/10, TP. Nha Trang, Khánh Hòa",Nha Trang
Cuc Tung,450000,21 chỗ ngồi,08:00,24-05-2024,24-05-2024,16:20,8 giờ 20 phút,"Bến xe Miền Đông mới A Số 501, đường Hoàng Hữu Nam","Bến Xe Phía Nam Nha Trang Km số 6, đường 23/10, TP. Nha Trang, Khánh Hòa",Nha Trang
Cuc Tung,450000,21 chỗ ngồi,09:30,24-05-2024,24-05-2024,17:50,8 giờ 20 phút,"Bến xe Miền Đông mới A Số 501, đường Hoàng Hữu Nam","Bến Xe Phía Nam Nha Trang Km số 6, đường 23/10, TP. Nha Trang, Khánh Hòa",Nha Trang
Cuc Tung,450000,21 chỗ ngồi,10:30,24-05-2024,24-05-2024,18:50,8 giờ 20 phút,"Bến xe Miền Đông mới A Số 501, đường Hoàng Hữu Nam","Bến Xe Phía Nam Nha Trang Km số 6, đường 23/10, TP. Nha Trang, Khánh Hòa",Nha Trang
Hanh Cafe,300000,34 chỗ ngồi,11:00,24-05-2024,24-05-2024,19:00,8 giờ ,VP Sài Gòn 273 Phạm Ngũ Lão,VP Nha Trang 1 106 Phong Châu,Nha Trang
Khanh Phong,450000,21 chỗ ngồi,11:00,24-05-2024,24-05-2024,16:25,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang
Cuc Tung,450000,21 chỗ ngồi,11:30,24-05-2024,24-05-2024,19:50,8 giờ 20 phút,"Bến xe Miền Đông mới A Số 501, đường Hoàng Hữu Nam","Bến Xe Phía Nam Nha Trang Km số 6, đường 23/10, TP. Nha Trang, Khánh Hòa",Nha Trang
Huynh Gia,300000,38 chỗ ngồi,11:45,24-05-2024,24-05-2024,19:00,7 giờ 15 phút,VP Phạm Ngũ Lão 275H Phạm Ngũ Lão, Ninh Hoà 582 Trần Quý Cáp,Nha Trang
Khanh Phong,320000,32 chỗ ngồi,11:50,24-05-2024,24-05-2024,17:15,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang
Cuc Tung,450000,21 chỗ ngồi,12:30,24-05-2024,24-05-2024,20:50,8 giờ 20 phút,"Bến xe Miền Đông mới A Số 501, đường Hoàng Hữu Nam","Bến Xe Phía Nam Nha Trang Km số 6, đường 23/10, TP. Nha Trang, Khánh Hòa",Nha Trang
Huynh Gia,480000,21 chỗ ngồi,12:30,24-05-2024,24-05-2024,19:45,7 giờ 15 phút,VP Phạm Ngũ Lão 275H Phạm Ngũ Lão, Ninh Hoà 582 Trần Quý Cáp,Nha Trang
Lien Hung,300000,32 chỗ ngồi,13:00,24-05-2024,25-05-2024,00:00,11 giờ ,Bến xe Miền Tây (Quầy 24) 395 Kinh Dương Vương,Bến xe Ninh Hòa QL1A,Nha Trang
Lien Hung,290000,32 chỗ ngồi,13:30,24-05-2024,24-05-2024,23:00,9 giờ 30 phút,"Ngã 4 An Sương Siêu thị đá Granite & Marble Tây Nam, 2555 QL1A, Khu Phố 3","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang
Khanh Phong,450000,21 chỗ ngồi,14:00,24-05-2024,24-05-2024,19:25,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang
Cuc Tung,450000,21 chỗ ngồi,14:30,24-05-2024,24-05-2024,22:50,8 giờ 20 phút,"Bến xe Miền Đông mới A Số 501, đường Hoàng Hữu Nam","Bến Xe Phía Nam Nha Trang Km số 6, đường 23/10, TP. Nha Trang, Khánh Hòa",Nha Trang
Khanh Phong,450000,21 chỗ ngồi,15:30,24-05-2024,24-05-2024,20:55,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang
