brand,price,number_of_seat,start_time,start_day,end_day,end_time,trip_time,take_place,destination,location
Lien Hung,400000,21 chỗ ngồi,07:45,23-05-2024,23-05-2024,18:30,10 giờ 45 phút,Văn phòng quận 5 269 Hùng Vương,"Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang
Lien Hung,400000,21 chỗ ngồi,10:00,23-05-2024,23-05-2024,20:45,10 giờ 45 phút,Văn phòng quận 5 269 Hùng Vương,"Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang
Huynh Gia,300000,38 chỗ ngồi,11:45,23-05-2024,23-05-2024,19:00,7 giờ 15 phút,VP Phạm Ngũ Lão 275H Phạm Ngũ Lão, Ninh Hoà 582 Trần Quý Cáp,Nha Trang
Huynh Gia,480000,21 chỗ ngồi,12:30,23-05-2024,23-05-2024,19:45,7 giờ 15 phút,VP Phạm Ngũ Lão 275H Phạm Ngũ Lão, Ninh Hoà 582 Trần Quý Cáp,Nha Trang
Lien Hung,290000,32 chỗ ngồi,12:30,23-05-2024,23-05-2024,23:00,10 giờ 30 phút,Văn phòng quận 5 269 Hùng Vương,"Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang
Phuc An Express,420000,22 chỗ ngồi,12:30,23-05-2024,23-05-2024,22:30,10 giờ ,"Trạm Phúc An Express Sân bóng Trí Hải, 204A Đ. Mai Chí Thọ, An Phú, Quận 2","Trạm Ninh Hòa 17 Trần Quý Cáp, Ngã 3 ngoài Ninh Hòa",Nha Trang
Lien Hung,300000,32 chỗ ngồi,13:00,23-05-2024,24-05-2024,00:00,11 giờ ,Bến xe Miền Tây (Quầy 24) 395 Kinh Dương Vương,Bến xe Ninh Hòa QL1A,Nha Trang
Lien Hung,290000,32 chỗ ngồi,13:15,23-05-2024,23-05-2024,21:00,7 giờ 45 phút,"Bến xe Miền Đông mới Số 501, đường Hoàng Hữu Nam","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang
Quang Hanh,460000,22 chỗ ngồi,17:30,23-05-2024,24-05-2024,05:30,12 giờ ,"Trạm Quang Hạnh - Bình Thạnh 349 Đinh Bộ Lĩnh, đối diện Bến xe Miền Đông - Cổng số 3",Bến xe phía Nam Nha Trang mới 1 Đường 23 tháng10,Nha Trang
Quang Hanh,480000,22 chỗ ngồi,18:00,23-05-2024,24-05-2024,04:10,10 giờ 10 phút,"Trạm Quang Hạnh - Bình Thạnh 349 Đinh Bộ Lĩnh, đối diện Bến xe Miền Đông - Cổng số 3",Bến xe phía Nam Nha Trang mới 1 Đường 23 tháng10,Nha Trang
Lien Hung,440000,22 chỗ ngồi,18:30,23-05-2024,24-05-2024,04:00,9 giờ 30 phút,Văn phòng quận 5 269 Hùng Vương,"Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang
