brand,price,number_of_seat,start_time,start_day,end_day,end_time,trip_time,take_place,destination,location,id
Huynh Gia,480000,22 chỗ ngồi,22:10,24-05-2024,25-05-2024,05:40,7 giờ 30 phút,VP Phạm Ngũ Lão 275H Phạm Ngũ Lão, Ninh Hoà 582 Trần Quý Cáp,Nha Trang,393
Khanh Phong,280000,38 chỗ ngồi,22:10,24-05-2024,25-05-2024,03:35,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,394
Xe Nha,280000,40 chỗ ngồi,22:10,24-05-2024,25-05-2024,06:10,8 giờ ,Văn phòng Quận 1 317 Đường Phạm Ngũ Lão,Ninh Hòa QL1A QL1A,Nha Trang,395
Hong Son (Phu Yen),400000,22 chỗ ngồi,22:13,24-05-2024,25-05-2024,07:33,9 giờ 20 phút,Cây xăng Comeco số 3 Hàng Xanh 490f Điện Biên Phủ,Ninh Hòa QL1A QL1A,Nha Trang,396
Hanh Cafe,300000,34 chỗ ngồi,22:15,24-05-2024,25-05-2024,06:15,8 giờ ,VP Sài Gòn 273 Phạm Ngũ Lão,VP Nha Trang 1 106 Phong Châu,Nha Trang,397
Khanh Phong,480000,21 chỗ ngồi,22:15,24-05-2024,25-05-2024,03:40,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,398
Phuong Nam,260000,40 chỗ ngồi,22:15,24-05-2024,25-05-2024,08:07,9 giờ 52 phút,Văn phòng Quận 1 B 275E Phạm Ngũ Lão,"Ngã 3 trong 658 Trần Quý Cáp, TT. Ninh Hòa, Ninh Hòa, Khánh Hòa",Nha Trang,399
Phuong Nam,260000,40 chỗ ngồi,22:15,24-05-2024,25-05-2024,08:32,10 giờ 17 phút,Văn phòng Quận 1 B 275E Phạm Ngũ Lão,Vòng xoay Ninh Diêm B 5 Lê Hồng Phong,Nha Trang,400
Huynh Gia,300000,34 chỗ ngồi,22:20,24-05-2024,25-05-2024,05:20,7 giờ ,VP Phạm Ngũ Lão 275H Phạm Ngũ Lão,Văn Phòng Nha Trang  16-18 Nguyễn Chánh,Nha Trang,401
Huynh Gia,300000,34 chỗ ngồi,22:20,24-05-2024,25-05-2024,05:50,7 giờ 30 phút,VP Phạm Ngũ Lão 275H Phạm Ngũ Lão, Ninh Hoà 582 Trần Quý Cáp,Nha Trang,402
Khanh Phong,280000,38 chỗ ngồi,22:20,24-05-2024,25-05-2024,03:35,5 giờ 15 phút,"Nhà chờ Phương Trang (Đường Mai Chí Thọ) Đường Mai Chí Thọ, Phường An Lợi Đông","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,403
Khanh Phong,320000,32 chỗ ngồi,22:20,24-05-2024,25-05-2024,03:45,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,404
Tra Lan Vien,270000,42 chỗ ngồi,22:20,24-05-2024,25-05-2024,07:20,9 giờ ,Vp. Quận 1 227 Phạm Ngũ Lão,Trạm Nha Trang Đường 04 (Khu Đô thị Hà Quang 2),Nha Trang,405
Xe Nha,480000,22 chỗ ngồi,22:20,24-05-2024,25-05-2024,06:20,8 giờ ,Văn phòng Quận 1 317 Đường Phạm Ngũ Lão,Ninh Hòa QL1A QL1A,Nha Trang,406
Hong Son (Phu Yen),400000,22 chỗ ngồi,22:23,24-05-2024,25-05-2024,07:33,9 giờ 10 phút,Ngã Tư Thủ Đức Xa lộ Hà Nội,Ninh Hòa QL1A QL1A,Nha Trang,407
Khanh Phong,480000,21 chỗ ngồi,22:25,24-05-2024,25-05-2024,03:40,5 giờ 15 phút,"Nhà chờ Phương Trang (Đường Mai Chí Thọ) Đường Mai Chí Thọ, Phường An Lợi Đông","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,408
Cuc Tung,450000,21 chỗ ngồi,22:30,24-05-2024,25-05-2024,06:50,8 giờ 20 phút,"Bến xe Miền Đông mới A Số 501, đường Hoàng Hữu Nam","Bến Xe Phía Nam Nha Trang Km số 6, đường 23/10, TP. Nha Trang, Khánh Hòa",Nha Trang,409
Khanh Phong,280000,38 chỗ ngồi,22:30,24-05-2024,25-05-2024,03:55,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,410
Khanh Phong,320000,32 chỗ ngồi,22:30,24-05-2024,25-05-2024,03:45,5 giờ 15 phút,"Nhà chờ Phương Trang (Đường Mai Chí Thọ) Đường Mai Chí Thọ, Phường An Lợi Đông","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,411
Lien Hung,440000,22 chỗ ngồi,22:30,24-05-2024,25-05-2024,07:00,8 giờ 30 phút,"Ngã 4 An Sương Siêu thị đá Granite & Marble Tây Nam, 2555 QL1A, Khu Phố 3","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,412
Tra Lan Vien,300000,36 chỗ ngồi,22:30,24-05-2024,25-05-2024,07:30,9 giờ ,Vp. Quận 1 227 Phạm Ngũ Lão,Trạm Nha Trang Đường 04 (Khu Đô thị Hà Quang 2),Nha Trang,413
Khanh Phong,280000,38 chỗ ngồi,22:40,24-05-2024,25-05-2024,03:55,5 giờ 15 phút,"Nhà chờ Phương Trang (Đường Mai Chí Thọ) Đường Mai Chí Thọ, Phường An Lợi Đông","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,414
Khanh Phong,480000,21 chỗ ngồi,22:40,24-05-2024,25-05-2024,04:05,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,415
Tra Lan Vien,420000,22 chỗ ngồi,22:40,24-05-2024,25-05-2024,07:40,9 giờ ,Vp. Quận 1 227 Phạm Ngũ Lão,Trạm Nha Trang Đường 04 (Khu Đô thị Hà Quang 2),Nha Trang,416
Tra Lan Vien,470000,22 chỗ ngồi,22:40,24-05-2024,25-05-2024,07:40,9 giờ ,Vp. Quận 1 227 Phạm Ngũ Lão,Trạm Nha Trang Đường 04 (Khu Đô thị Hà Quang 2),Nha Trang,417
Huynh Gia,280000,38 chỗ ngồi,22:45,24-05-2024,25-05-2024,06:00,7 giờ 15 phút,VP Phạm Ngũ Lão 275H Phạm Ngũ Lão, Ninh Hoà 582 Trần Quý Cáp,Nha Trang,418
Khanh Phong,480000,21 chỗ ngồi,22:50,24-05-2024,25-05-2024,04:05,5 giờ 15 phút,"Nhà chờ Phương Trang (Đường Mai Chí Thọ) Đường Mai Chí Thọ, Phường An Lợi Đông","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,419
Tra Lan Vien,420000,22 chỗ ngồi,22:50,24-05-2024,25-05-2024,07:50,9 giờ ,Vp. Quận 1 227 Phạm Ngũ Lão,Trạm Nha Trang Đường 04 (Khu Đô thị Hà Quang 2),Nha Trang,420
Tra Lan Vien,470000,22 chỗ ngồi,22:50,24-05-2024,25-05-2024,07:50,9 giờ ,Vp. Quận 1 227 Phạm Ngũ Lão,Trạm Nha Trang Đường 04 (Khu Đô thị Hà Quang 2),Nha Trang,421
Khanh Phong,320000,32 chỗ ngồi,22:51,24-05-2024,25-05-2024,04:16,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,422
Huynh Gia,480000,21 chỗ ngồi,23:00,24-05-2024,25-05-2024,06:00,7 giờ ,VP Phạm Ngũ Lão 275H Phạm Ngũ Lão,Văn Phòng Nha Trang  16-18 Nguyễn Chánh,Nha Trang,423
Huynh Gia,480000,21 chỗ ngồi,23:00,24-05-2024,25-05-2024,06:30,7 giờ 30 phút,VP Phạm Ngũ Lão 275H Phạm Ngũ Lão, Ninh Hoà 582 Trần Quý Cáp,Nha Trang,424
Khanh Phong,480000,21 chỗ ngồi,23:00,24-05-2024,25-05-2024,04:25,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,425
Khanh Phong,320000,32 chỗ ngồi,23:01,24-05-2024,25-05-2024,04:16,5 giờ 15 phút,"Nhà chờ Phương Trang (Đường Mai Chí Thọ) Đường Mai Chí Thọ, Phường An Lợi Đông","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,426
Khanh Phong,480000,21 chỗ ngồi,23:05,24-05-2024,25-05-2024,04:30,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,427
Khanh Phong,480000,21 chỗ ngồi,23:10,24-05-2024,25-05-2024,04:25,5 giờ 15 phút,"Nhà chờ Phương Trang (Đường Mai Chí Thọ) Đường Mai Chí Thọ, Phường An Lợi Đông","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,428
Khanh Phong,480000,21 chỗ ngồi,23:10,24-05-2024,25-05-2024,04:35,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,429
Khanh Phong,480000,21 chỗ ngồi,23:15,24-05-2024,25-05-2024,04:40,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,430
Khanh Phong,480000,21 chỗ ngồi,23:20,24-05-2024,25-05-2024,04:35,5 giờ 15 phút,"Nhà chờ Phương Trang (Đường Mai Chí Thọ) Đường Mai Chí Thọ, Phường An Lợi Đông","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,431
Hoa Mai,150000,15 chỗ ngồi,05:30,20-05-2024,20-05-2024,07:10,1 giờ 40 phút,Văn phòng quận 1A 44 Nguyễn Thái Bình,"Đối diện Nhà thờ Láng Cát Ba Ria - Vung Tau, Tân Thành",Vũng Tàu,432
Hoa Mai,150000,15 chỗ ngồi,05:30,20-05-2024,20-05-2024,07:55,2 giờ 25 phút,Văn phòng quận 1A 44 Nguyễn Thái Bình,Văn phòng Hoa Mai Vũng Tàu 47 Trưng Nhị,Vũng Tàu,433
Hoa Mai,170000,9 chỗ ngồi,05:30,20-05-2024,20-05-2024,06:50,1 giờ 20 phút,"Bến Xe Miền Đông - Quầy vé số 84-85 Đối diện BX Miền Đông cũ, 387 Đinh Bộ Lĩnh, Phường 26, Bình Thạnh","Đối diện Nhà thờ Láng Cát Ba Ria - Vung Tau, Tân Thành",Vũng Tàu,434
Hoa Mai,170000,9 chỗ ngồi,05:30,20-05-2024,20-05-2024,07:05,1 giờ 35 phút,"Bến Xe Miền Đông - Quầy vé số 84-85 Đối diện BX Miền Đông cũ, 387 Đinh Bộ Lĩnh, Phường 26, Bình Thạnh","Bến xe Bà Rịa 1 QL51, Phước Hiệp, Tp.Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam
Xem trên bản đồ",Vũng Tàu,435
Hoa Mai,170000,9 chỗ ngồi,05:30,20-05-2024,20-05-2024,07:35,2 giờ 5 phút,"Bến Xe Miền Đông - Quầy vé số 84-85 Đối diện BX Miền Đông cũ, 387 Đinh Bộ Lĩnh, Phường 26, Bình Thạnh",Văn phòng Hoa Mai Vũng Tàu 47 Trưng Nhị,Vũng Tàu,436
Hoa Mai,150000,15 chỗ ngồi,06:00,20-05-2024,20-05-2024,07:40,1 giờ 40 phút,Văn phòng quận 1A 44 Nguyễn Thái Bình,"Đối diện Nhà thờ Láng Cát Ba Ria - Vung Tau, Tân Thành",Vũng Tàu,437
Hoa Mai,150000,15 chỗ ngồi,06:00,20-05-2024,20-05-2024,07:55,1 giờ 55 phút,Văn phòng quận 1A 44 Nguyễn Thái Bình,"Bến xe Bà Rịa 1 QL51, Phước Hiệp, Tp.Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam
Xem trên bản đồ",Vũng Tàu,438
Hoa Mai,150000,15 chỗ ngồi,06:00,20-05-2024,20-05-2024,08:25,2 giờ 25 phút,Văn phòng quận 1A 44 Nguyễn Thái Bình,Văn phòng Hoa Mai Vũng Tàu 47 Trưng Nhị,Vũng Tàu,439
Hoa Mai,170000,9 chỗ ngồi,06:00,20-05-2024,20-05-2024,07:20,1 giờ 20 phút,"Bến Xe Miền Đông - Quầy vé số 84-85 Đối diện BX Miền Đông cũ, 387 Đinh Bộ Lĩnh, Phường 26, Bình Thạnh","Đối diện Nhà thờ Láng Cát Ba Ria - Vung Tau, Tân Thành",Vũng Tàu,440
Hoa Mai,170000,9 chỗ ngồi,06:00,20-05-2024,20-05-2024,07:35,1 giờ 35 phút,"Bến Xe Miền Đông - Quầy vé số 84-85 Đối diện BX Miền Đông cũ, 387 Đinh Bộ Lĩnh, Phường 26, Bình Thạnh","Bến xe Bà Rịa 1 QL51, Phước Hiệp, Tp.Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam
Xem trên bản đồ",Vũng Tàu,441
Hoa Mai,170000,9 chỗ ngồi,06:00,20-05-2024,20-05-2024,08:05,2 giờ 5 phút,"Bến Xe Miền Đông - Quầy vé số 84-85 Đối diện BX Miền Đông cũ, 387 Đinh Bộ Lĩnh, Phường 26, Bình Thạnh",Văn phòng Hoa Mai Vũng Tàu 47 Trưng Nhị,Vũng Tàu,442
Hoa Mai,200000,9 chỗ ngồi,06:00,20-05-2024,20-05-2024,07:10,1 giờ 10 phút,"Văn phòng quận 1 83 Nguyen Thai Binh Street, District 1, Ho Chi Minh C","Đối diện Nhà thờ Láng Cát Ba Ria - Vung Tau, Tân Thành",Vũng Tàu,443
Hoa Mai,200000,9 chỗ ngồi,06:00,20-05-2024,20-05-2024,07:55,1 giờ 55 phút,"Văn phòng quận 1 83 Nguyen Thai Binh Street, District 1, Ho Chi Minh C",Văn phòng Hoa Mai Vũng Tàu 47 Trưng Nhị,Vũng Tàu,444
Hoa Mai,200000,9 chỗ ngồi,06:00,20-05-2024,20-05-2024,07:55,1 giờ 55 phút,"Văn phòng quận 1 83 Nguyen Thai Binh Street, District 1, Ho Chi Minh C",Bến xe Bà Rịa Bến xe Bà Rịa,Vũng Tàu,445
Hoa Mai,200000,9 chỗ ngồi,06:00,20-05-2024,20-05-2024,08:15,2 giờ 15 phút,"Bến xe Miền Tây Quầy vé số 12, BXMT 395 Kinh Dương Vương, An Lạc
Xem trên bản đồ","Văn phòng Hoa Mai Long Hải khu phố Hải An, đường Võ thị Sáu, tt.Long Hải, huyện Long Điền",Vũng Tàu,446
Huy Hoang-Vung Tau,190000,9 chỗ ngồi,06:00,20-05-2024,20-05-2024,08:45,2 giờ 45 phút,Sân Bay Tân Sơn Nhất Ga quốc tế cột 14,Văn Phòng Vũng Tàu 312 Nguyễn An Ninh,Vũng Tàu,447
Huy Hoang-Vung Tau,200000,9 chỗ ngồi,06:00,20-05-2024,20-05-2024,08:45,2 giờ 45 phút,Sân Bay Tân Sơn Nhất Ga quốc tế cột 14,Văn Phòng Vũng Tàu 312 Nguyễn An Ninh,Vũng Tàu,448
Vie Limousine,210000,9 chỗ ngồi,06:15,20-05-2024,20-05-2024,09:00,2 giờ 45 phút,Sân Bay Tân Sơn Nhất Bãi đậu xe đối diện Cột số 12 Ga Quốc tế,"Văn phòng Vũng Tàu 33 Đường 3/2, TP Vũng Tàu",Vũng Tàu,449
Vie Limousine,230000,9 chỗ ngồi,06:15,20-05-2024,20-05-2024,09:00,2 giờ 45 phút,Sân Bay Tân Sơn Nhất Bãi đậu xe đối diện Cột số 12 Ga Quốc tế,"Văn phòng Vũng Tàu 33 Đường 3/2, TP Vũng Tàu",Vũng Tàu,450
Vie Limousine,250000,9 chỗ ngồi,06:15,20-05-2024,20-05-2024,09:00,2 giờ 45 phút,Sân Bay Tân Sơn Nhất Bãi đậu xe đối diện Cột số 12 Ga Quốc tế,"Văn phòng Vũng Tàu 33 Đường 3/2, TP Vũng Tàu",Vũng Tàu,451
Hoa Mai,150000,15 chỗ ngồi,06:30,20-05-2024,20-05-2024,08:10,1 giờ 40 phút,Văn phòng quận 1A 44 Nguyễn Thái Bình,"Đối diện Nhà thờ Láng Cát Ba Ria - Vung Tau, Tân Thành",Vũng Tàu,452
Hoa Mai,150000,15 chỗ ngồi,06:30,20-05-2024,20-05-2024,08:55,2 giờ 25 phút,"Bến xe Miền Tây Quầy vé số 12, BXMT 395 Kinh Dương Vương, An Lạc
Xem trên bản đồ",Văn phòng Hoa Mai Vũng Tàu 47 Trưng Nhị,Vũng Tàu,453
Hoa Mai,200000,9 chỗ ngồi,06:30,20-05-2024,20-05-2024,07:40,1 giờ 10 phút,"Văn phòng quận 1 83 Nguyen Thai Binh Street, District 1, Ho Chi Minh C","Đối diện Nhà thờ Láng Cát Ba Ria - Vung Tau, Tân Thành",Vũng Tàu,454
Hoa Mai,200000,9 chỗ ngồi,06:30,20-05-2024,20-05-2024,08:25,1 giờ 55 phút,"Văn phòng quận 1 83 Nguyen Thai Binh Street, District 1, Ho Chi Minh C",Văn phòng Hoa Mai Vũng Tàu 47 Trưng Nhị,Vũng Tàu,455
Huy Hoang-Vung Tau,190000,9 chỗ ngồi,06:30,20-05-2024,20-05-2024,09:15,2 giờ 45 phút,Sân Bay Tân Sơn Nhất Ga quốc tế cột 14,Văn Phòng Vũng Tàu 312 Nguyễn An Ninh,Vũng Tàu,456
Huy Hoang-Vung Tau,200000,9 chỗ ngồi,06:30,20-05-2024,20-05-2024,09:15,2 giờ 45 phút,Sân Bay Tân Sơn Nhất Ga quốc tế cột 14,Văn Phòng Vũng Tàu 312 Nguyễn An Ninh,Vũng Tàu,457
Thanh Vinh - Vung Tau,190000,9 chỗ ngồi,06:30,20-05-2024,20-05-2024,09:00,2 giờ 30 phút,"Sân Bay Tân Sơn Nhất 2 Ga quốc tế, ga đến, cột 12",VP Vũng Tàu 25 Nguyễn Thái Học,Vũng Tàu,458
Thanh Vinh - Vung Tau,200000,9 chỗ ngồi,06:30,20-05-2024,20-05-2024,09:00,2 giờ 30 phút,"Sân Bay Tân Sơn Nhất 2 Ga quốc tế, ga đến, cột 12",VP Vũng Tàu 25 Nguyễn Thái Học,Vũng Tàu,459
Hoa Mai,150000,15 chỗ ngồi,07:00,20-05-2024,20-05-2024,09:25,2 giờ 25 phút,"Bến xe Miền Tây Quầy vé số 12, BXMT 395 Kinh Dương Vương, An Lạc
Xem trên bản đồ",Văn phòng Hoa Mai Vũng Tàu 47 Trưng Nhị,Vũng Tàu,460
Hoa Mai,150000,15 chỗ ngồi,07:00,20-05-2024,20-05-2024,09:25,2 giờ 25 phút,Văn phòng quận 1A 44 Nguyễn Thái Bình,Văn phòng Hoa Mai Vũng Tàu 47 Trưng Nhị,Vũng Tàu,461
Hoa Mai,170000,9 chỗ ngồi,07:00,20-05-2024,20-05-2024,08:20,1 giờ 20 phút,"Bến Xe Miền Đông - Quầy vé số 84-85 Đối diện BX Miền Đông cũ, 387 Đinh Bộ Lĩnh, Phường 26, Bình Thạnh","Đối diện Nhà thờ Láng Cát Ba Ria - Vung Tau, Tân Thành",Vũng Tàu,462
Hoa Mai,170000,9 chỗ ngồi,07:00,20-05-2024,20-05-2024,08:35,1 giờ 35 phút,"Bến Xe Miền Đông - Quầy vé số 84-85 Đối diện BX Miền Đông cũ, 387 Đinh Bộ Lĩnh, Phường 26, Bình Thạnh","Bến xe Bà Rịa 1 QL51, Phước Hiệp, Tp.Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam
Xem trên bản đồ",Vũng Tàu,463
Hoa Mai,170000,9 chỗ ngồi,07:00,20-05-2024,20-05-2024,09:05,2 giờ 5 phút,"Bến Xe Miền Đông - Quầy vé số 84-85 Đối diện BX Miền Đông cũ, 387 Đinh Bộ Lĩnh, Phường 26, Bình Thạnh",Văn phòng Hoa Mai Vũng Tàu 47 Trưng Nhị,Vũng Tàu,464
Hoa Mai,200000,9 chỗ ngồi,07:00,20-05-2024,20-05-2024,08:10,1 giờ 10 phút,"Văn phòng quận 1 83 Nguyen Thai Binh Street, District 1, Ho Chi Minh C","Đối diện Nhà thờ Láng Cát Ba Ria - Vung Tau, Tân Thành",Vũng Tàu,465
Hoa Mai,200000,9 chỗ ngồi,07:00,20-05-2024,20-05-2024,08:35,1 giờ 35 phút,Văn phòng quận 5 269 Hùng Vương,"Đối diện Nhà thờ Láng Cát Ba Ria - Vung Tau, Tân Thành",Vũng Tàu,466
Hoa Mai,200000,9 chỗ ngồi,07:00,20-05-2024,20-05-2024,08:50,1 giờ 50 phút,Văn phòng quận 5 269 Hùng Vương,Bến xe Bà Rịa Bến xe Bà Rịa,Vũng Tàu,467
Hoa Mai,200000,9 chỗ ngồi,07:00,20-05-2024,20-05-2024,08:55,1 giờ 55 phút,"Văn phòng quận 1 83 Nguyen Thai Binh Street, District 1, Ho Chi Minh C",Văn phòng Hoa Mai Vũng Tàu 47 Trưng Nhị,Vũng Tàu,468
Hoa Mai,200000,9 chỗ ngồi,07:00,20-05-2024,20-05-2024,08:55,1 giờ 55 phút,"Văn phòng quận 1 83 Nguyen Thai Binh Street, District 1, Ho Chi Minh C",Bến xe Bà Rịa Bến xe Bà Rịa,Vũng Tàu,469
Hoa Mai,200000,9 chỗ ngồi,07:00,20-05-2024,20-05-2024,09:02,2 giờ 2 phút,Sân Bay Tân Sơn Nhất Bãi đậu xe đối diện Cột số 12 Ga Quốc tế,"Đối diện Nhà thờ Láng Cát Ba Ria - Vung Tau, Tân Thành",Vũng Tàu,470
Hoa Mai,200000,9 chỗ ngồi,07:00,20-05-2024,20-05-2024,09:15,2 giờ 15 phút,"Bến xe Miền Tây Quầy vé số 12, BXMT 395 Kinh Dương Vương, An Lạc
Xem trên bản đồ","Văn phòng Hoa Mai Long Hải khu phố Hải An, đường Võ thị Sáu, tt.Long Hải, huyện Long Điền",Vũng Tàu,471
Hoa Mai,200000,9 chỗ ngồi,07:00,20-05-2024,20-05-2024,09:20,2 giờ 20 phút,Văn phòng quận 5 269 Hùng Vương,Nội thành Vũng Tàu Ba Ria - Vung Tau,Vũng Tàu,472
Hoa Mai,200000,9 chỗ ngồi,07:00,20-05-2024,20-05-2024,09:37,2 giờ 37 phút,Sân Bay Tân Sơn Nhất Bãi đậu xe đối diện Cột số 12 Ga Quốc tế,Văn phòng Hoa Mai Vũng Tàu 47 Trưng Nhị,Vũng Tàu,473
Huy Hoang-Vung Tau,190000,9 chỗ ngồi,07:00,20-05-2024,20-05-2024,09:45,2 giờ 45 phút,Sân Bay Tân Sơn Nhất Ga quốc tế cột 14,Văn Phòng Vũng Tàu 312 Nguyễn An Ninh,Vũng Tàu,474
Huy Hoang-Vung Tau,200000,9 chỗ ngồi,07:00,20-05-2024,20-05-2024,09:45,2 giờ 45 phút,Sân Bay Tân Sơn Nhất Ga quốc tế cột 14,Văn Phòng Vũng Tàu 312 Nguyễn An Ninh,Vũng Tàu,475
Thanh Vinh - Vung Tau,190000,9 chỗ ngồi,07:00,20-05-2024,20-05-2024,09:30,2 giờ 30 phút,"Sân Bay Tân Sơn Nhất 2 Ga quốc tế, ga đến, cột 12",VP Vũng Tàu 25 Nguyễn Thái Học,Vũng Tàu,476
Thanh Vinh - Vung Tau,200000,9 chỗ ngồi,07:00,20-05-2024,20-05-2024,09:30,2 giờ 30 phút,"Sân Bay Tân Sơn Nhất 2 Ga quốc tế, ga đến, cột 12",VP Vũng Tàu 25 Nguyễn Thái Học,Vũng Tàu,477
Vie Limousine,210000,9 chỗ ngồi,07:15,20-05-2024,20-05-2024,10:00,2 giờ 45 phút,Sân Bay Tân Sơn Nhất Bãi đậu xe đối diện Cột số 12 Ga Quốc tế,"Văn phòng Vũng Tàu 33 Đường 3/2, TP Vũng Tàu",Vũng Tàu,478
Vie Limousine,230000,9 chỗ ngồi,07:15,20-05-2024,20-05-2024,10:00,2 giờ 45 phút,Sân Bay Tân Sơn Nhất Bãi đậu xe đối diện Cột số 12 Ga Quốc tế,"Văn phòng Vũng Tàu 33 Đường 3/2, TP Vũng Tàu",Vũng Tàu,479
Vie Limousine,250000,9 chỗ ngồi,07:15,20-05-2024,20-05-2024,10:00,2 giờ 45 phút,Sân Bay Tân Sơn Nhất Bãi đậu xe đối diện Cột số 12 Ga Quốc tế,"Văn phòng Vũng Tàu 33 Đường 3/2, TP Vũng Tàu",Vũng Tàu,480
Hoa Mai,150000,15 chỗ ngồi,07:30,20-05-2024,20-05-2024,09:10,1 giờ 40 phút,Văn phòng quận 1A 44 Nguyễn Thái Bình,"Đối diện Nhà thờ Láng Cát Ba Ria - Vung Tau, Tân Thành",Vũng Tàu,481
Hoa Mai,150000,15 chỗ ngồi,07:30,20-05-2024,20-05-2024,09:25,1 giờ 55 phút,Văn phòng quận 1A 44 Nguyễn Thái Bình,"Bến xe Bà Rịa 1 QL51, Phước Hiệp, Tp.Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam
Xem trên bản đồ",Vũng Tàu,482
Hoa Mai,150000,15 chỗ ngồi,07:30,20-05-2024,20-05-2024,09:55,2 giờ 25 phút,"Bến xe Miền Tây Quầy vé số 12, BXMT 395 Kinh Dương Vương, An Lạc
Xem trên bản đồ",Văn phòng Hoa Mai Vũng Tàu 47 Trưng Nhị,Vũng Tàu,483
Hoa Mai,200000,9 chỗ ngồi,07:30,20-05-2024,20-05-2024,08:40,1 giờ 10 phút,"Văn phòng quận 1 83 Nguyen Thai Binh Street, District 1, Ho Chi Minh C","Đối diện Nhà thờ Láng Cát Ba Ria - Vung Tau, Tân Thành",Vũng Tàu,484
Hoa Mai,200000,9 chỗ ngồi,07:30,20-05-2024,20-05-2024,09:25,1 giờ 55 phút,"Văn phòng quận 1 83 Nguyen Thai Binh Street, District 1, Ho Chi Minh C",Văn phòng Hoa Mai Vũng Tàu 47 Trưng Nhị,Vũng Tàu,485
Hoa Mai,200000,9 chỗ ngồi,07:30,20-05-2024,20-05-2024,09:32,2 giờ 2 phút,Sân Bay Tân Sơn Nhất Bãi đậu xe đối diện Cột số 12 Ga Quốc tế,"Đối diện Nhà thờ Láng Cát Ba Ria - Vung Tau, Tân Thành",Vũng Tàu,486
Hoa Mai,200000,9 chỗ ngồi,07:30,20-05-2024,20-05-2024,10:07,2 giờ 37 phút,Sân Bay Tân Sơn Nhất Bãi đậu xe đối diện Cột số 12 Ga Quốc tế,Văn phòng Hoa Mai Vũng Tàu 47 Trưng Nhị,Vũng Tàu,487
Thanh Vinh - Vung Tau,190000,9 chỗ ngồi,07:30,20-05-2024,20-05-2024,10:00,2 giờ 30 phút,"Sân Bay Tân Sơn Nhất 2 Ga quốc tế, ga đến, cột 12",VP Vũng Tàu 25 Nguyễn Thái Học,Vũng Tàu,488
Thanh Vinh - Vung Tau,200000,9 chỗ ngồi,07:30,20-05-2024,20-05-2024,10:00,2 giờ 30 phút,"Sân Bay Tân Sơn Nhất 2 Ga quốc tế, ga đến, cột 12",VP Vũng Tàu 25 Nguyễn Thái Học,Vũng Tàu,489
