brand,price,number_of_seat,start_time,start_day,end_day,end_time,trip_time,take_place,destination,location,id
Khanh Phong,450000,21 chỗ ngồi,14:00,20-05-2024,20-05-2024,20:10,6 giờ 10 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Văn Phòng Nha Trang (KS Mường Thanh) Kiốt Số 2 Khách sạn Mường Thanh, Số 4, Đường Trần Phú, P.Xương Huân (Chân Cầu Trần Phú)",Nha Trang,23
Lien Hung,290000,32 chỗ ngồi,14:15,20-05-2024,20-05-2024,23:00,8 giờ 45 phút,Cổng Đại Học Nông Lâm (QL1A) QL1A,"Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,24
Cuc Tung,450000,21 chỗ ngồi,14:30,20-05-2024,20-05-2024,22:50,8 giờ 20 phút,"Bến xe Miền Đông mới A Số 501, đường Hoàng Hữu Nam","Bến Xe Phía Nam Nha Trang Km số 6, đường 23/10, TP. Nha Trang, Khánh Hòa",Nha Trang,25
Khanh Phong,450000,21 chỗ ngồi,15:30,20-05-2024,20-05-2024,20:55,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,26
Khanh Phong,450000,21 chỗ ngồi,15:30,20-05-2024,20-05-2024,21:40,6 giờ 10 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Văn Phòng Nha Trang (KS Mường Thanh) Kiốt Số 2 Khách sạn Mường Thanh, Số 4, Đường Trần Phú, P.Xương Huân (Chân Cầu Trần Phú)",Nha Trang,27
Khanh Phong,450000,21 chỗ ngồi,15:35,20-05-2024,20-05-2024,21:00,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,28
Khanh Phong,450000,21 chỗ ngồi,15:35,20-05-2024,20-05-2024,21:45,6 giờ 10 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Văn Phòng Nha Trang (KS Mường Thanh) Kiốt Số 2 Khách sạn Mường Thanh, Số 4, Đường Trần Phú, P.Xương Huân (Chân Cầu Trần Phú)",Nha Trang,29
Quang Hanh,320000,32 chỗ ngồi,16:30,20-05-2024,21-05-2024,02:25,9 giờ 55 phút,"Trạm Quang Hạnh - Bình Thạnh 349 Đinh Bộ Lĩnh, đối diện Bến xe Miền Đông - Cổng số 3",Bến xe phía Nam Nha Trang mới 1 Đường 23 tháng10,Nha Trang,30
Quang Hanh,320000,32 chỗ ngồi,17:00,20-05-2024,21-05-2024,03:10,10 giờ 10 phút,"Trạm Quang Hạnh - Bình Thạnh 349 Đinh Bộ Lĩnh, đối diện Bến xe Miền Đông - Cổng số 3",Bến xe phía Nam Nha Trang mới 1 Đường 23 tháng10,Nha Trang,31
Hong Son (Phu Yen),290000,34 chỗ ngồi,17:30,20-05-2024,21-05-2024,02:03,8 giờ 33 phút,Cầu vượt Linh Xuân QL1A,Ninh Hòa QL1A QL1A,Nha Trang,32
