brand,price,number_of_seat,start_time,start_day,end_day,end_time,trip_time,take_place,destination,location
Phi Long,580000,38 chỗ ngồi,08:00,21-05-2024,22-05-2024,01:50,17 giờ 50 phút,"Bến xe Ngã Tư Ga 720 Quốc lộ 1A, P. Thạnh Lộc, Q.12, Tp. Hồ Chí Minh",Cầu Vượt Hòa Cầm Cầu Vượt Hòa Cầm,Đà Nẵng
Dinh Nhan,550000,32 chỗ ngồi,08:30,21-05-2024,22-05-2024,03:00,18 giờ 30 phút,"VP Tân Bình 306A Hồng Lạc, Phường 11",VP Đà Nẵng 166 Điện Biên Phủ,Đà Nẵng
Phi Long,580000,38 chỗ ngồi,08:30,21-05-2024,22-05-2024,01:50,17 giờ 20 phút,Cổng Bến xe Miền Đông Mới (TP HCM) Cổng Bến xe Miền Đông Mới (TP HCM),Cầu Vượt Hòa Cầm Cầu Vượt Hòa Cầm,Đà Nẵng
